term,domain,z,delta,count_domain,count_total,docfreq_domain,docfreq_total,ngram_len
qubits,CCE,3.0730307446724527,1.1592130198575656,19.0,30.0,13,19,1
materials and,CCE,3.0730307446724527,1.1592130198575656,19.0,30.0,19,29,2
transfer,CCE,3.063823231150407,0.48974530799996696,73.0,156.0,40,90,1
coordinate,CCE,3.040922081616618,1.2478544177357964,17.0,26.0,13,22,1
rational,CCE,3.040922081616618,1.2478544177357964,17.0,26.0,17,25,1
establishes a,CCE,3.038002433859631,0.9592025880424782,24.0,41.0,24,41,2
vapor,CCE,3.0268126012838574,1.3044798995866334,16.0,24.0,11,15,1
single-photon,CCE,3.0264311503659913,2.3018138699025013,11.0,13.0,6,8,1
ultrathin,CCE,3.0264311503659913,2.3018138699025013,11.0,13.0,7,9,1
khz,CCE,3.0264311503659913,2.3018138699025013,11.0,13.0,6,8,1
reservoir,CCE,3.0264311503659913,2.3018138699025013,11.0,13.0,5,7,1
valley,CCE,3.0264311503659913,2.3018138699025013,11.0,13.0,3,5,1
photonic,CCE,3.0180512017041172,0.7856522657502607,32.0,59.0,19,35,1
computing,CCE,3.017502070797651,0.8563529865058293,28.0,50.0,21,40,1
ionization,CCE,3.01391047988771,1.372806147745056,15.0,22.0,7,8,1
the molecular,CCE,3.004260909272474,3.0578301651108415,12.0,13.0,11,12,2
in materials science,CCE,3.004260909272474,3.0578301651108415,12.0,13.0,10,11,3
vacuum,CCE,3.004260909272474,3.0578301651108415,12.0,13.0,11,12,1
heterogeneous catalysis,CCE,3.004260909272474,3.0578301651108415,12.0,13.0,8,9,2
crystallization,CCE,3.004260909272474,3.0578301651108415,12.0,13.0,7,8,1
atomic-scale,CCE,3.0017602806808017,1.4571011724693879,14.0,20.0,12,18,1
iron,CCE,3.0017602806808017,1.4571011724693879,14.0,20.0,9,15,1
and charge,CCE,3.0017602806808017,1.4571011724693879,14.0,20.0,13,18,2
the optical,CCE,3.0017602806808017,1.4571011724693879,14.0,20.0,11,17,2
constitutive,CCE,3.0017602806808017,1.4571011724693879,14.0,20.0,5,9,1
boron nitride,CCE,3.0017602806808017,1.4571011724693879,14.0,20.0,10,14,2
understanding of,CCE,3.001611389214997,0.7374927435196046,35.0,66.0,31,61,2
due to their,CCE,2.9897202203575532,0.9970379811955006,22.0,37.0,21,36,3
doped,CCE,2.9897202203575532,0.9970379811955006,22.0,37.0,12,23,1
photon,CCE,2.9897202203575532,0.9970379811955006,22.0,37.0,15,23,1
use of,CCE,2.9894665640525773,0.8664215975804463,27.0,48.0,24,43,2
metal-organic,CCE,2.9890967059492635,1.5641450740847809,13.0,18.0,9,12,1
insights into the,CCE,2.9890967059492635,1.5641450740847809,13.0,18.0,12,17,3
precursor,CCE,2.9726975923827124,1.705551024079318,12.0,16.0,10,11,1
electrolyte,CCE,2.9726975923827124,1.705551024079318,12.0,16.0,8,11,1
voltage,CCE,2.9726975923827124,1.705551024079318,12.0,16.0,12,16,1
the concept,CCE,2.9726975923827124,1.705551024079318,12.0,16.0,10,14,2
piezoelectric,CCE,2.9726975923827124,1.705551024079318,12.0,16.0,3,5,1
fabricated,CCE,2.966396387464098,1.0193234089702248,21.0,35.0,18,31,1
